SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Multi-Family (2-4 Unit),3630 - 3634 Scott St,San Francisco,CA,94123,2998000,5,3.0,San Francisco,3525,2504,1927,4,850,,Active,,,http://www.redfin.com/CA/San-Francisco/3630-Scott-St-94123/home/1522667,San Francisco MLS,421587640,N,Y,37.8035195,-122.4415624
MLS Listing,,Condo/Co-op,718 Long Bridge St #1300,San Francisco,CA,94158,1850000,2,2.0,San Francisco,1329,84866,2016,4,1392,1181,Active,,,http://www.redfin.com/CA/San-Francisco/718-Long-Bridge-St-94158/unit-1300/home/109685803,San Francisco MLS,421598625,N,Y,37.772,-122.393773
MLS Listing,,Condo/Co-op,400 Oak St #1,SAN FRANCISCO,CA,94102,786000,1,1.0,SAN FRANCISCO,600,,1900,4,1310,300,Active,October-2-2021 03:00 PM,October-2-2021 05:00 PM,http://www.redfin.com/CA/San-Francisco/400-Oak-St-94102/unit-1/home/28890102,MLSListings,ML81864321,N,Y,37.774782,-122.426094
MLS Listing,,Multi-Family (2-4 Unit),4355 Anza St,SAN FRANCISCO,CA,94121,1698000,2,2.5,SAN FRANCISCO,1975,2250,1917,4,860,,Active,October-2-2021 02:00 PM,October-2-2021 04:00 PM,http://www.redfin.com/CA/San-Francisco/4355-Anza-St-94121/home/176542700,MLSListings,ML81864320,N,Y,37.777544,-122.4950237
MLS Listing,,Condo/Co-op,655 Corbett Ave #506,San Francisco,CA,94114,698000,1,1.0,San Francisco,673,17101,1964,4,1037,556,Active,,,http://www.redfin.com/CA/San-Francisco/655-Corbett-Ave-94114/unit-506/home/1905289,San Francisco MLS,421596529,N,Y,37.7565294,-122.4430524
MLS Listing,,Multi-Family (2-4 Unit),1459 - 1461 17th Ave,San Francisco,CA,94122,1680000,4,3.0,San Francisco,3430,3000,1925,5,490,,Active,October-2-2021 01:00 PM,October-2-2021 03:00 PM,http://www.redfin.com/CA/San-Francisco/1459-17th-Ave-94122/home/631882,San Francisco MLS,421598617,N,Y,37.760676,-122.475105
MLS Listing,,Single Family Residential,1881 Oakdale Ave,San Francisco,CA,94124,1290000,8,3.0,San Francisco,2438,1642,2014,5,529,,Active,October-3-2021 02:00 PM,October-3-2021 04:00 PM,http://www.redfin.com/CA/San-Francisco/1881-Oakdale-Ave-94124/home/1807149,San Francisco MLS,421591870,N,Y,37.7374299,-122.395719
MLS Listing,,Condo/Co-op,1688 Pine St Unit E401,San Francisco,CA,94109,346593,2,2.0,San Francisco,889,35482,2016,5,390,,Active,September-30-2021 05:00 PM,September-30-2021 07:00 PM,http://www.redfin.com/CA/San-Francisco/1688-Pine-St-94109/unit-E401/home/144063589,San Francisco MLS,421595982,N,Y,37.7895497,-122.4233697
MLS Listing,,Single Family Residential,37 Sussex St,San Francisco,CA,94131,1895000,3,1.0,San Francisco,1189,1990,1951,5,1594,,Active,,,http://www.redfin.com/CA/San-Francisco/37-Sussex-St-94131/home/938107,San Francisco MLS,421596785,N,Y,37.7362095,-122.4335194
MLS Listing,,Multi-Family (5+ Unit),1545 Filbert St,San Francisco,CA,94123,2700000,0,,San Francisco,4390,3415,1924,5,615,,Active,,,http://www.redfin.com/CA/San-Francisco/1545-Filbert-St-94123/home/881102,San Francisco MLS,421592375,N,Y,37.7992115,-122.4250523
MLS Listing,,Multi-Family (2-4 Unit),1338 - 1340 42nd Ave,San Francisco,CA,94122,1195000,3,2.0,San Francisco,1452,3000,1908,5,823,,Active,September-30-2021 05:30 PM,September-30-2021 07:00 PM,http://www.redfin.com/CA/San-Francisco/1338-42nd-Ave-94122/home/108547189,San Francisco MLS,421596755,N,Y,37.7617282,-122.5013888
MLS Listing,,Multi-Family (2-4 Unit),77 - 81 Pleasant St,San Francisco,CA,94108,2995000,5,3.0,San Francisco,3315,1410,1907,5,903,,Active,,,http://www.redfin.com/CA/San-Francisco/77-Pleasant-St-94108/home/1029584,San Francisco MLS,421596893,N,Y,37.7927046,-122.4139666
MLS Listing,,Single Family Residential,651 29th St,SAN FRANCISCO,CA,94131,6395000,4,4.5,SAN FRANCISCO,5438,6597,2004,5,1176,,Active,,,http://www.redfin.com/CA/San-Francisco/651-29th-St-94131/home/69371622,MLSListings,ML81864098,N,Y,37.7430674,-122.4344663
MLS Listing,,Condo/Co-op,401 Harrison St Unit 8E,San Francisco,CA,94105,975000,1,1.0,San Francisco,710,,2014,5,1373,1270,Active,October-3-2021 02:00 PM,October-3-2021 04:00 PM,http://www.redfin.com/CA/San-Francisco/401-Harrison-St-94105/unit-8E/home/110263317,San Francisco MLS,421597929,N,Y,37.7863747,-122.3919931
MLS Listing,,Single Family Residential,100 Los Palmos Dr,San Francisco,CA,94127,1398000,3,1.5,San Francisco,,2962,1955,5,,,Active,October-2-2021 02:00 PM,October-2-2021 04:00 PM,http://www.redfin.com/CA/San-Francisco/100-Los-Palmos-Dr-94127/home/1686497,San Francisco MLS,421598527,N,Y,37.7353525,-122.4477386
MLS Listing,,Single Family Residential,15 Holyoke St,San Francisco,CA,94134,1395000,3,2.0,San Francisco,2010,3000,1912,5,694,,Active,September-30-2021 05:30 PM,September-30-2021 07:00 PM,http://www.redfin.com/CA/San-Francisco/15-Holyoke-St-94134/home/1503491,San Francisco MLS,421556507,N,Y,37.7307785,-122.4101145
MLS Listing,,Condo/Co-op,1439 Jefferson St,San Francisco,CA,94123,1895000,2,2.0,San Francisco,1583,3448,,5,1197,459,Active,October-2-2021 11:00 AM,October-2-2021 01:00 PM,http://www.redfin.com/CA/San-Francisco/1439-Jefferson-St-94123/home/40142266,BAREIS,421598047,N,Y,37.8055131,-122.436239
MLS Listing,,Single Family Residential,80 Thor Ave,San Francisco,CA,94131,5295000,4,3.5,San Francisco,4125,2657,2021,5,1284,,Active,October-2-2021 02:00 PM,October-2-2021 04:00 PM,http://www.redfin.com/CA/San-Francisco/80-Thor-Ave-94131/unit-V/home/102540178,San Francisco MLS,421590880,N,Y,37.7348583,-122.434371
MLS Listing,,Condo/Co-op,72 Townsend St #702,San Francisco,CA,94107,1495000,2,2.0,San Francisco,1212,,,5,1233,920,Active,October-2-2021 01:45 PM,October-2-2021 04:15 PM,http://www.redfin.com/CA/San-Francisco/72-Townsend-St-94107/unit-702/home/102283789,San Francisco MLS,421596459,N,Y,37.7814887,-122.3902958
MLS Listing,,Condo/Co-op,60 Rausch St #402,San Francisco,CA,94103,699000,1,1.0,San Francisco,767,,2002,5,911,519,Active,October-2-2021 02:00 PM,October-2-2021 04:00 PM,http://www.redfin.com/CA/San-Francisco/60-Rausch-St-94103/unit-402/home/12399471,San Francisco MLS,421598078,N,Y,37.7760722,-122.4096499
MLS Listing,,Single Family Residential,2840 Bryant St,San Francisco,CA,94110,1795000,2,2.0,San Francisco,2048,2500,1923,5,876,,Active,,,http://www.redfin.com/CA/San-Francisco/2840-Bryant-St-94110/home/886777,BAREIS,421598480,N,Y,37.7489529,-122.4089972
MLS Listing,,Multi-Family (2-4 Unit),184 Clipper St,SAN FRANCISCO,CA,94114,1549000,5,2.5,SAN FRANCISCO,2700,2047,1900,5,574,,Active,October-3-2021 01:00 PM,October-3-2021 04:00 PM,http://www.redfin.com/CA/San-Francisco/184-Clipper-St-94114/home/1205189,MLSListings,ML81862456,N,Y,37.74937,-122.429255
MLS Listing,,Condo/Co-op,2150 Grove St,San Francisco,CA,94117,1895000,3,2.0,San Francisco,,3000,1926,5,,350,Active,October-2-2021 01:00 PM,October-2-2021 03:00 PM,http://www.redfin.com/CA/San-Francisco/2150-Grove-St-94117/home/918479,San Francisco MLS,421592512,N,Y,37.7742997,-122.4520855
MLS Listing,,Condo/Co-op,101 Lombard St Unit 108W,San Francisco,CA,94111,1655000,3,2.0,San Francisco,1790,,1983,5,925,1992,Active,October-3-2021 01:00 PM,October-3-2021 03:00 PM,http://www.redfin.com/CA/San-Francisco/101-Lombard-St-94111/unit-108W/home/1107652,San Francisco MLS,421597348,N,Y,37.8037119,-122.4045338
MLS Listing,,Condo/Co-op,1201 California St #1403,San Francisco,CA,94109,2600000,3,3.0,San Francisco,1760,,1927,5,1477,2741,Active,,,http://www.redfin.com/CA/San-Francisco/1201-California-St-94109/unit-1403/home/12400948,San Francisco MLS,421585472,N,Y,37.790957,-122.4143844
MLS Listing,,Single Family Residential,323 Rutledge St,San Francisco,CA,94110,998000,3,1.0,San Francisco,1000,1873,1912,5,998,,Active,October-2-2021 02:00 PM,October-2-2021 04:00 PM,http://www.redfin.com/CA/San-Francisco/323-Rutledge-St-94110/home/1885469,San Francisco MLS,421598459,N,Y,37.7448037,-122.4098047
MLS Listing,,Single Family Residential,2502 Leavenworth St,SAN FRANCISCO,CA,94133,7898000,5,4.5,SAN FRANCISCO,4500,2500,1900,5,1755,,Active,,,http://www.redfin.com/CA/San-Francisco/2502-Leavenworth-St-94133/home/1698373,MLSListings,ML81864254,N,Y,37.8043491,-122.4182117
MLS Listing,,Condo/Co-op,81 Frank Norris St #505,San Francisco,CA,94109,795000,1,1.0,San Francisco,784,6909,1913,6,1014,648,Active,October-3-2021 02:00 PM,October-3-2021 05:00 PM,http://www.redfin.com/CA/San-Francisco/81-Frank-Norris-St-94109/unit-505/home/17306914,San Francisco MLS,421594479,N,Y,37.78908,-122.420053
MLS Listing,,Condo/Co-op,676 Alvarado St,San Francisco,CA,94114,1888000,3,3.0,San Francisco,1873,3200,1980,6,1008,225,Active,October-2-2021 12:00 PM,October-2-2021 02:00 PM,http://www.redfin.com/CA/San-Francisco/676-Alvarado-St-94114/home/1670076,San Francisco MLS,421598163,N,Y,37.7537435,-122.4360312
MLS Listing,,Single Family Residential,419 Baden St,SAN FRANCISCO,CA,94131,2800000,4,3.5,SAN FRANCISCO,2805,3125,1986,6,998,,Active,October-2-2021 01:00 PM,October-2-2021 04:00 PM,http://www.redfin.com/CA/San-Francisco/419-Baden-St-94131/home/1696824,MLSListings,ML81864232,N,Y,37.7335126,-122.4400776
MLS Listing,,Condo/Co-op,1466 Church St #3,San Francisco,CA,94131,675000,1,1.0,San Francisco,,,1922,6,,370,Active,,,http://www.redfin.com/CA/San-Francisco/1466-Church-St-94131/unit-3/home/45498868,San Francisco MLS,421597718,N,Y,37.7472895,-122.4272484
MLS Listing,,Condo/Co-op,1310 Fillmore St #303,San Francisco,CA,94115,1249000,2,2.0,San Francisco,1407,52938,2007,6,888,980,Active,,,http://www.redfin.com/CA/San-Francisco/1310-Fillmore-St-94115/unit-303/home/17306911,San Francisco MLS,421598277,N,Y,37.7816647,-122.4321387
MLS Listing,,Condo/Co-op,137 Castro St,San Francisco,CA,94114,949000,1,1.0,San Francisco,851,2600,,6,1115,256,Active,October-3-2021 11:00 AM,October-3-2021 01:00 PM,http://www.redfin.com/CA/San-Francisco/137-Castro-St-94114/home/40628884,San Francisco MLS,421596714,N,Y,37.7668041,-122.4353327
MLS Listing,,Condo/Co-op,4637 25th St,San Francisco,CA,94114,925000,1,1.0,San Francisco,,2560,1978,6,,206,Active,October-2-2021 02:30 PM,October-2-2021 04:00 PM,http://www.redfin.com/CA/San-Francisco/4637-25th-St-94114/home/1440160,San Francisco MLS,421597823,N,Y,37.7490886,-122.441095
MLS Listing,,Multi-Family (2-4 Unit),5524 Mission St,San Francisco,CA,94112,999999,3,1.0,San Francisco,1829,3192,1923,6,547,,Active,October-2-2021 01:00 AM,October-2-2021 02:00 PM,http://www.redfin.com/CA/San-Francisco/5524-Mission-St-94112/home/45495787,San Francisco MLS,421598369,N,Y,37.7124482,-122.4452309
MLS Listing,,Condo/Co-op,855 Folsom St #112,San Francisco,CA,94107,799000,1,1.5,San Francisco,880,55687,2001,6,908,715,Active,October-1-2021 12:30 PM,October-1-2021 01:30 PM,http://www.redfin.com/CA/San-Francisco/855-Folsom-St-94107/unit-112/home/12397498,San Francisco MLS,421575584,N,Y,37.7810381,-122.4022553
